Calibration file for turbity fibre optics system
Date and Time of Calibration: 2019-11-26 - 16:44:48
  LEDv    air   0.02  100.0   20.0  800.0 
0.0000 0.0585 0.0586 0.0586 0.0586 0.0587
0.1000 0.0614 0.0614 0.0602 0.0606 0.0603
0.2000 0.2089 0.1727 0.1605 0.1702 0.1304
0.3000 0.4085 0.3200 0.2965 0.3176 0.2247
0.4000 0.6216 0.4800 0.4440 0.4770 0.3265
0.5000 0.8271 0.6324 0.5875 0.6311 0.4246
0.6000 0.9615 0.7337 0.6798 0.7316 0.4890
0.7000 1.1704 0.8885 0.8238 0.8873 0.5877
0.8000 1.3961 1.0577 0.9795 1.0565 0.6951
0.9000 1.6277 1.2298 1.1387 1.2286 0.8058
1.0000 1.8666 1.4076 1.3038 1.4059 0.9190
1.1000 2.1088 1.5890 1.4716 1.5858 1.0348
1.2000 2.3543 1.7710 1.6399 1.7686 1.1514
1.3000 2.5995 1.9536 1.8083 1.9501 1.2683
1.4000 2.8438 2.1369 1.9792 2.1335 1.3849
1.5000 3.0911 2.3213 2.1480 2.3179 1.5025
1.6000 3.3423 2.5062 2.3209 2.5028 1.6213
1.7000 3.5872 2.6898 2.4896 2.6854 1.7392
1.8000 3.8371 2.8763 2.6611 2.8704 1.8567
1.9000 4.0860 3.0625 2.8329 3.0565 1.9774
2.0000 4.3362 3.2476 3.0051 3.2425 2.0967
2.1000 4.5838 3.4299 3.1743 3.4261 2.2141
2.2000 4.8320 3.6167 3.3489 3.6112 2.3327
2.3000 5.0000 3.8052 3.5220 3.7989 2.4532
2.4000 0.0000 3.9937 3.6954 3.9861 2.5737
2.5000 0.0000 4.1833 3.8700 4.1763 2.6941
2.6000 0.0000 4.3737 4.0460 4.3656 2.8159
2.7000 0.0000 4.5622 4.2232 4.5563 2.9382
2.8000 0.0000 4.7551 4.3990 4.7471 3.0595
2.9000 0.0000 4.9466 4.5754 4.9368 3.1814
3.0000 0.0000 5.0000 4.7509 5.0000 3.3024
3.1000 0.0000 0.0000 4.9246 0.0000 3.4230
3.2000 0.0000 0.0000 5.0000 0.0000 3.5444
3.3000 0.0000 0.0000 0.0000 0.0000 3.6640
3.4000 0.0000 0.0000 0.0000 0.0000 3.7848
3.5000 0.0000 0.0000 0.0000 0.0000 3.9060
3.6000 0.0000 0.0000 0.0000 0.0000 4.0272
3.7000 0.0000 0.0000 0.0000 0.0000 4.1480
3.8000 0.0000 0.0000 0.0000 0.0000 4.2704
3.9000 0.0000 0.0000 0.0000 0.0000 4.3928
4.0000 0.0000 0.0000 0.0000 0.0000 4.5160
4.1000 0.0000 0.0000 0.0000 0.0000 4.6401
4.2000 0.0000 0.0000 0.0000 0.0000 4.7642
4.3000 0.0000 0.0000 0.0000 0.0000 4.8894
4.4000 0.0000 0.0000 0.0000 0.0000 5.0000
4.5000 0.0000 0.0000 0.0000 0.0000 0.0000
4.6000 0.0000 0.0000 0.0000 0.0000 0.0000
4.7000 0.0000 0.0000 0.0000 0.0000 0.0000
4.8000 0.0000 0.0000 0.0000 0.0000 0.0000
4.9000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
