Calibration file for turbity fibre optics system
Date and Time of Calibration: 2019-11-27 - 13:06:02
  LEDv    air   0.02  100.0   20.0  800.0 
0.0000 0.0600 0.0600 0.0611 0.0612 0.0611
0.1000 0.0646 0.0635 0.0636 0.0647 0.0631
0.2000 0.1978 0.1770 0.1683 0.1778 0.1344
0.3000 0.3738 0.3267 0.3078 0.3277 0.2296
0.4000 0.5627 0.4872 0.4586 0.4893 0.3313
0.5000 0.7346 0.6335 0.5967 0.6382 0.4252
0.6000 0.8600 0.7409 0.6967 0.7446 0.4927
0.7000 1.0452 0.8979 0.8450 0.9039 0.5927
0.8000 1.2435 1.0668 1.0023 1.0732 0.7000
0.9000 1.4490 1.2405 1.1650 1.2485 0.8106
1.0000 1.6591 1.4189 1.3318 1.4293 0.9246
1.1000 1.8735 1.6009 1.5021 1.6127 1.0397
1.2000 2.0887 1.7824 1.6729 1.7955 1.1558
1.3000 2.3047 1.9661 1.8425 1.9796 1.2724
1.4000 2.5212 2.1497 2.0141 2.1636 1.3906
1.5000 2.7395 2.3325 2.1866 2.3512 1.5088
1.6000 2.9574 2.5190 2.3619 2.5387 1.6276
1.7000 3.1722 2.7020 2.5320 2.7246 1.7441
1.8000 3.3938 2.8876 2.7061 2.9120 1.8633
1.9000 3.6132 3.0746 2.8820 3.0993 1.9824
2.0000 3.8291 3.2578 3.0527 3.2841 2.0996
2.1000 4.0482 3.4440 3.2266 3.4724 2.2185
2.2000 4.2695 3.6304 3.4028 3.6598 2.3385
2.3000 4.4900 3.8194 3.5796 3.8487 2.4582
2.4000 4.7123 4.0073 3.7563 4.0403 2.5778
2.5000 4.9370 4.1980 3.9337 4.2311 2.6993
2.6000 5.0000 4.3893 4.1111 4.4228 2.8208
2.7000 0.0000 4.5803 4.2909 4.6157 2.9428
2.8000 0.0000 4.7709 4.4682 4.8081 3.0654
2.9000 0.0000 4.9599 4.6468 4.9991 3.1857
3.0000 0.0000 5.0000 4.8247 5.0000 3.3058
3.1000 0.0000 0.0000 4.9995 0.0000 3.4258
3.2000 0.0000 0.0000 5.0000 0.0000 3.5461
3.3000 0.0000 0.0000 0.0000 0.0000 3.6660
3.4000 0.0000 0.0000 0.0000 0.0000 3.7871
3.5000 0.0000 0.0000 0.0000 0.0000 3.9071
3.6000 0.0000 0.0000 0.0000 0.0000 4.0284
3.7000 0.0000 0.0000 0.0000 0.0000 4.1511
3.8000 0.0000 0.0000 0.0000 0.0000 4.2730
3.9000 0.0000 0.0000 0.0000 0.0000 4.3952
4.0000 0.0000 0.0000 0.0000 0.0000 4.5190
4.1000 0.0000 0.0000 0.0000 0.0000 4.6429
4.2000 0.0000 0.0000 0.0000 0.0000 4.7676
4.3000 0.0000 0.0000 0.0000 0.0000 4.8934
4.4000 0.0000 0.0000 0.0000 0.0000 5.0000
4.5000 0.0000 0.0000 0.0000 0.0000 0.0000
4.6000 0.0000 0.0000 0.0000 0.0000 0.0000
4.7000 0.0000 0.0000 0.0000 0.0000 0.0000
4.8000 0.0000 0.0000 0.0000 0.0000 0.0000
4.9000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
