Calibration file for turbity fibre optics system
Date and Time of Calibration: 2019-11-27 - 13:19:26
  LEDv    air   0.02  100.0   20.0  800.0 
0.0000 0.0596 0.0595 0.0596 0.0595 0.0596
0.1000 0.0641 0.0631 0.0624 0.0625 0.0614
0.2000 0.1994 0.1765 0.1677 0.1762 0.1337
0.3000 0.3789 0.3249 0.3063 0.3251 0.2302
0.4000 0.5704 0.4852 0.4556 0.4872 0.3331
0.5000 0.7445 0.6303 0.5931 0.6358 0.4284
0.6000 0.8703 0.7365 0.6906 0.7431 0.4972
0.7000 1.0593 0.8934 0.8374 0.9004 0.5976
0.8000 1.2598 1.0605 0.9945 1.0713 0.7066
0.9000 1.4669 1.2338 1.1563 1.2466 0.8185
1.0000 1.6810 1.4115 1.3227 1.4270 0.9335
1.1000 1.8973 1.5932 1.4917 1.6095 1.0507
1.2000 2.1145 1.7742 1.6612 1.7919 1.1674
1.3000 2.3332 1.9551 1.8320 1.9775 1.2860
1.4000 2.5525 2.1390 2.0034 2.1620 1.4054
1.5000 2.7737 2.3213 2.1753 2.3484 1.5242
1.6000 2.9978 2.5075 2.3491 2.5369 1.6439
1.7000 3.2162 2.6895 2.5202 2.7217 1.7635
1.8000 3.4394 2.8753 2.6932 2.9086 1.8845
1.9000 3.6618 3.0602 2.8666 3.0970 2.0035
2.0000 3.8825 3.2430 3.0368 3.2821 2.1219
2.1000 4.1035 3.4273 3.2099 3.4695 2.2421
2.2000 4.3272 3.6115 3.3851 3.6578 2.3634
2.3000 4.5516 3.7989 3.5600 3.8468 2.4851
2.4000 4.7788 3.9872 3.7364 4.0367 2.6061
2.5000 5.0000 4.1760 3.9140 4.2277 2.7292
2.6000 0.0000 4.3660 4.0914 4.4211 2.8526
2.7000 0.0000 4.5572 4.2698 4.6127 2.9765
2.8000 0.0000 4.7462 4.4477 4.8038 3.0997
2.9000 0.0000 4.9354 4.6247 4.9960 3.2220
3.0000 0.0000 5.0000 4.8018 5.0000 3.3446
3.1000 0.0000 0.0000 4.9765 0.0000 3.4665
3.2000 0.0000 0.0000 5.0000 0.0000 3.5877
3.3000 0.0000 0.0000 0.0000 0.0000 3.7096
3.4000 0.0000 0.0000 0.0000 0.0000 3.8312
3.5000 0.0000 0.0000 0.0000 0.0000 3.9533
3.6000 0.0000 0.0000 0.0000 0.0000 4.0764
3.7000 0.0000 0.0000 0.0000 0.0000 4.1998
3.8000 0.0000 0.0000 0.0000 0.0000 4.3240
3.9000 0.0000 0.0000 0.0000 0.0000 4.4467
4.0000 0.0000 0.0000 0.0000 0.0000 4.5724
4.1000 0.0000 0.0000 0.0000 0.0000 4.6990
4.2000 0.0000 0.0000 0.0000 0.0000 4.8247
4.3000 0.0000 0.0000 0.0000 0.0000 4.9528
4.4000 0.0000 0.0000 0.0000 0.0000 5.0000
4.5000 0.0000 0.0000 0.0000 0.0000 0.0000
4.6000 0.0000 0.0000 0.0000 0.0000 0.0000
4.7000 0.0000 0.0000 0.0000 0.0000 0.0000
4.8000 0.0000 0.0000 0.0000 0.0000 0.0000
4.9000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
