Calibration file for turbity fibre optics system
Date and Time of Calibration: 2019-11-27 - 14:14:55
  LEDv    air   0.02  100.0   20.0  800.0 
1.5000 2.7377 2.3612 2.1655 2.3448 1.5420
1.7000 3.1746 2.7364 2.5085 2.7164 1.7765
1.9000 3.6136 3.1139 2.8529 3.0901 2.0138
2.1000 4.0499 3.4879 3.1967 3.4626 2.2496
2.3000 4.4904 3.8641 3.5433 3.8392 2.4879
2.5000 4.9356 4.2513 3.8946 4.2203 2.7308
2.7000 5.0000 4.6374 4.2494 4.6042 2.9754
2.9000 0.0000 5.0000 4.6028 4.9852 3.2197
3.1000 0.0000 0.0000 4.9531 5.0000 3.4626
3.3000 0.0000 0.0000 5.0000 0.0000 3.7031
3.5000 0.0000 0.0000 0.0000 0.0000 3.9449
3.7000 0.0000 0.0000 0.0000 0.0000 4.1908
3.9000 0.0000 0.0000 0.0000 0.0000 4.4379
4.1000 0.0000 0.0000 0.0000 0.0000 4.6871
4.3000 0.0000 0.0000 0.0000 0.0000 4.9403
4.5000 0.0000 0.0000 0.0000 0.0000 5.0000
4.7000 0.0000 0.0000 0.0000 0.0000 0.0000
4.9000 0.0000 0.0000 0.0000 0.0000 0.0000
