Calibration file for turbity fibre optics system
Date and Time of Calibration: 2019-11-27 - 10:56:08
  LEDv    air   0.02  100.0   20.0  800.0 
0.0000 0.0589 0.0613 0.0629 0.0634 0.0616
0.1000 0.0642 0.0660 0.0675 0.0696 0.0656
0.2000 0.2016 0.1802 0.1773 0.1932 0.1449
0.3000 0.3799 0.3337 0.3243 0.3513 0.2463
0.4000 0.5731 0.4919 0.4731 0.5183 0.3554
0.5000 0.7454 0.6371 0.5997 0.6537 0.4400
0.6000 0.8705 0.7466 0.7197 0.7849 0.5224
0.7000 1.0603 0.9105 0.8736 0.9536 0.6328
0.8000 1.2609 1.0713 1.0358 1.1316 0.7465
0.9000 1.4705 1.2413 1.2023 1.3160 0.8643
1.0000 1.6846 1.4926 1.3736 1.5042 0.9852
1.1000 1.9015 1.6894 1.5473 1.6950 1.1073
1.2000 2.1199 1.8694 1.7212 1.8861 1.2301
1.3000 2.3385 2.0292 1.8953 2.0782 1.3539
1.4000 2.5573 2.1616 2.0709 2.2708 1.4776
1.5000 2.7779 2.3679 2.2484 2.4650 1.6026
1.6000 3.0002 2.5471 2.4243 2.6571 1.7260
1.7000 3.2192 2.8405 2.6016 2.8523 1.8509
1.8000 3.4419 3.0231 2.7794 3.0474 1.9763
1.9000 3.6654 3.2071 2.9552 3.2411 2.0999
2.0000 3.8852 3.4215 3.1319 3.4360 2.2241
2.1000 4.1075 3.4822 3.3096 3.6305 2.3490
2.2000 4.3317 3.7664 3.4874 3.8287 2.4755
2.3000 4.5574 3.8288 3.6679 4.0262 2.6020
2.4000 4.7836 4.0115 3.8490 4.2255 2.7302
2.5000 5.0000 4.2312 4.0310 4.4256 2.8588
2.6000 0.0000 4.3906 4.2135 4.6254 2.9876
2.7000 0.0000 4.7580 4.3596 4.8241 3.1156
2.8000 0.0000 4.9991 4.5752 5.0000 3.2433
2.9000 0.0000 4.9802 4.7561 0.0000 3.3707
3.0000 0.0000 5.0000 4.9357 0.0000 3.4977
3.1000 0.0000 0.0000 5.0000 0.0000 3.6244
3.2000 0.0000 0.0000 0.0000 0.0000 3.7512
3.3000 0.0000 0.0000 0.0000 0.0000 3.8784
3.4000 0.0000 0.0000 0.0000 0.0000 4.0048
3.5000 0.0000 0.0000 0.0000 0.0000 4.1322
3.6000 0.0000 0.0000 0.0000 0.0000 4.2613
3.7000 0.0000 0.0000 0.0000 0.0000 4.3906
3.8000 0.0000 0.0000 0.0000 0.0000 4.5205
3.9000 0.0000 0.0000 0.0000 0.0000 4.6512
4.0000 0.0000 0.0000 0.0000 0.0000 4.7817
4.1000 0.0000 0.0000 0.0000 0.0000 4.9133
4.2000 0.0000 0.0000 0.0000 0.0000 5.0000
4.3000 0.0000 0.0000 0.0000 0.0000 0.0000
4.4000 0.0000 0.0000 0.0000 0.0000 0.0000
4.5000 0.0000 0.0000 0.0000 0.0000 0.0000
4.6000 0.0000 0.0000 0.0000 0.0000 0.0000
4.7000 0.0000 0.0000 0.0000 0.0000 0.0000
4.8000 0.0000 0.0000 0.0000 0.0000 0.0000
4.9000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
